Time	f(number(86400)/count()) – Bitcoin
26.08.2014	499.4219653179191
27.08.2014	511.2426035502959
28.08.2014	499.4219653179191
29.08.2014	508.2352941176471
30.08.2014	474.72527472527474
31.08.2014	459.5744680851064
01.09.2014	635.2941176470588
02.09.2014	587.7551020408164
03.09.2014	511.2426035502959
04.09.2014	546.8354430379746
05.09.2014	595.8620689655172
06.09.2014	482.6815642458101
07.09.2014	557.4193548387096
08.09.2014	600
09.09.2014	591.7808219178082
10.09.2014	550.3184713375796
11.09.2014	508.2352941176471
12.09.2014	561.038961038961
13.09.2014	477.34806629834253
14.09.2014	546.8354430379746
15.09.2014	546.8354430379746
16.09.2014	505.2631578947368
17.09.2014	464.51612903225805
18.09.2014	482.6815642458101
19.09.2014	505.2631578947368
20.09.2014	490.90909090909093
21.09.2014	526.829268292683
22.09.2014	514.2857142857143
23.09.2014	576
24.09.2014	553.8461538461538
25.09.2014	502.3255813953488
26.09.2014	644.776119402985
27.09.2014	644.776119402985
28.09.2014	664.6153846153846
29.09.2014	630.6569343065694
30.09.2014	564.7058823529412
01.10.2014	557.4193548387096
02.10.2014	626.0869565217391
03.10.2014	591.7808219178082
04.10.2014	561.038961038961
05.10.2014	511.2426035502959
06.10.2014	536.6459627329192
07.10.2014	644.776119402985
08.10.2014	600
09.10.2014	583.7837837837837
10.10.2014	557.4193548387096
11.10.2014	600
12.10.2014	583.7837837837837
13.10.2014	557.4193548387096
14.10.2014	654.5454545454545
15.10.2014	572.1854304635762
16.10.2014	583.7837837837837
17.10.2014	608.4507042253521
18.10.2014	526.829268292683
19.10.2014	649.624060150376
20.10.2014	630.6569343065694
21.10.2014	564.7058823529412
22.10.2014	543.3962264150944
23.10.2014	572.1854304635762
24.10.2014	543.3962264150944
25.10.2014	557.4193548387096
26.10.2014	691.2
27.10.2014	543.3962264150944
28.10.2014	626.0869565217391
29.10.2014	557.4193548387096
30.10.2014	508.2352941176471
31.10.2014	459.5744680851064
01.11.2014	543.3962264150944
02.11.2014	557.4193548387096
03.11.2014	511.2426035502959
04.11.2014	533.3333333333334
05.11.2014	626.0869565217391
