Time_l,Price (BTC/USD) – Bitcoin,sum(Transaction count – Blocks) – Bitcoin,avg(Block size (kB)) – Bitcoin,f(number(86400)/count()) – Bitcoin,avg(Fee – Transactions (USD)) – Bitcoin,t,v
07.11.2009,0.01,69,215.66666666666663,1252.1739130434785,0.0,1257120000,0
08.11.2009,0.01,73,215.54794520547944,1183.5616438356165,0.0,1257206400,0
09.11.2009,0.01,64,215.6875,1350.0,0.0,1257292800,42
10.11.2009,0.01,78,215.3846153846154,1107.6923076923076,0.0,1257379200,0
11.11.2009,0.01,73,331.453125,1350.0,0.0,1257465600,0
12.11.2009,0.01,66,215.42424242424244,1309.090909090909,0.0,1257552000,0
13.11.2009,0.01,83,238.45,1080.0,0.0,1257638400,0
14.11.2009,0.01,79,215.63291139240508,1093.6708860759493,0.0,1257724800,0
15.11.2009,0.01,96,215.625,900.0,0.0,1257811200,0
16.11.2009,0.01,97,215.68041237113405,890.7216494845361,0.0,1257897600,52
17.11.2009,0.01,92,215.66304347826087,939.1304347826087,0.0,1257984000,0
18.11.2009,0.01,79,215.43037974683543,1093.6708860759493,0.0,1258070400,13
19.11.2009,0.01,72,375.2,1234.2857142857142,0.0,1258156800,0
20.11.2009,0.01,86,215.61627906976744,1004.6511627906976,0.0,1258243200,0
21.11.2009,0.01,73,215.7123287671233,1183.5616438356165,0.0,1258329600,0
22.11.2009,0.01,106,215.7075471698113,815.0943396226415,0.0,1258416000,0
23.11.2009,0.01,96,215.85416666666663,900.0,0.0,1258502400,0
24.11.2009,0.01,93,215.56989247311827,929.032258064516,0.0,1258588800,83
25.11.2009,0.01,90,215.64444444444445,960.0,0.0,1258675200,0
26.11.2009,0.01,84,215.5119047619048,1028.571428571429,0.0,1258761600,0
27.11.2009,0.01,74,215.47297297297297,1167.5675675675675,0.0,1258848000,0
28.11.2009,0.01,71,215.56338028169012,1216.901408450704,0.0,1258934400,0
29.11.2009,0.01,60,215.6833333333333,1440.0,0.0,1259020800,0
30.11.2009,0.01,75,215.76,1152.0,0.0,1259107200,0
01.12.2009,0.01,74,483.7808219178082,1183.5616438356165,2.97297297297e-05,1259193600,0
02.12.2009,0.01,94,215.6489361702128,919.1489361702128,0.0,1259280000,0
03.12.2009,0.01,88,215.7840909090909,981.818181818182,0.0,1259366400,0
04.12.2009,0.01,36,215.44444444444449,2400.0,0.0,1259452800,0
05.12.2009,0.01,65,249.015625,1350.0,0.0,1259539200,0
06.12.2009,0.01,105,220.35922330097088,838.8349514563107,0.0,1259625600,167
07.12.2009,0.01,112,215.64285714285717,771.4285714285714,0.0,1259712000,0
08.12.2009,0.01,107,249.2095238095238,822.8571428571429,0.0,1259798400,0
09.12.2009,0.01,109,263.2083333333333,900.0,0.0,1259884800,0
10.12.2009,0.01,104,215.6442307692308,830.7692307692307,0.0,1259971200,20
11.12.2009,0.01,112,215.34821428571428,771.4285714285714,0.0,1260057600,4
12.12.2009,0.01,112,286.44545454545454,785.4545454545455,0.0,1260144000,0
13.12.2009,0.01,114,215.75438596491227,757.8947368421053,0.0,1260230400,31
14.12.2009,0.01,107,591.4705882352941,847.0588235294117,0.0,1260316800,23
15.12.2009,0.01,112,226.9454545454545,785.4545454545455,0.0,1260403200,0
