Time,avg(Block size (kB)) – Ethereum,t,v,t_lambda,avg(Fee – Transactions (USD)) – Ethereum,f(number(86400)/count()) – Ethereum,Price (ETH/USD) – Ethereum,sum(Transaction count – Blocks) – Ethereum
21.02.2016,1050.743422354105,1456012800.0,6281.0,21.02.2016,0.0054567519545131,17.0919881305638,4.35,17119
22.02.2016,1090.2872819909858,1456099200.0,6000.0,22.02.2016,0.0063951318630148,16.93121693121693,4.635,18190
23.02.2016,1117.0579593479574,1456185600.0,6043.0,23.02.2016,0.0225522829419918,17.387804387200642,5.7,18482
24.02.2016,1108.8270033803938,1456272000.0,6031.0,24.02.2016,0.0114947488859448,17.18035394710678,5.5,19540
25.02.2016,1113.9760140405615,1456358400.0,6599.0,25.02.2016,0.0076077632159031,16.848673946957877,6.0,19503
26.02.2016,1288.8714144411474,1456444800.0,5922.0,26.02.2016,0.0115651779984144,17.0919881305638,6.0293436,21068
27.02.2016,1101.8922275641023,1456531200.0,5917.0,27.02.2016,0.0067854403292181,17.307692307692307,5.82,18981
28.02.2016,1091.1889043547426,1456617600.0,6495.0,28.02.2016,0.007652576433512,17.18035394710678,6.3632684,19063
29.02.2016,1175.3846473029046,1456704000.0,7113.0,29.02.2016,0.0082400070635325,17.925311203319502,6.377561,20358
01.03.2016,1156.5112826603329,1456790400.0,7653.0,01.03.2016,0.0078579065571959,17.102137767220903,6.294355,21778
02.03.2016,1198.6116791191507,1456876800.0,8541.0,02.03.2016,0.0103170250215703,16.987809673613842,7.66,23562
03.03.2016,1248.445751894695,1456963200.0,9058.0,03.03.2016,0.0099407810478118,17.2317510969286,8.466927,24837
04.03.2016,1249.1351621946335,1457049600.0,8973.0,04.03.2016,0.0106475310522218,17.300760913095715,9.274502,24287
05.03.2016,1314.407940833009,1457136000.0,10056.0,05.03.2016,0.0106424336541714,16.815881666017905,10.211229,27115
06.03.2016,1365.8176074994906,1457222400.0,9723.0,06.03.2016,0.0121741637726192,17.607499490523743,10.599999,27661
07.03.2016,1217.7266215678471,1457308800.0,8041.0,07.03.2016,0.012078156530269,17.19060883406287,11.347936,23271
08.03.2016,1242.128961530795,1457395200.0,9468.0,08.03.2016,0.0108127598664031,17.221447079928243,9.500003,24105
09.03.2016,1279.4692323110844,1457481600.0,9247.0,09.03.2016,0.0085656884800053,17.318099819603127,9.768,24557
10.03.2016,1221.5444572748268,1457568000.0,9809.0,10.03.2016,0.0078820191989407,16.628175519630485,11.7,24814
11.03.2016,1210.995064165844,1457654400.0,9475.0,11.03.2016,0.0076003057674058,17.058242843040475,11.250212,23124
