Time	avg(Block size (kB)) – Ethereum
23.01.2023	75182.37133686854
24.01.2023	81561.35654479486
25.01.2023	80939.04344182149
26.01.2023	82041.6670387943
27.01.2023	83235.52453516008
28.01.2023	76680.75045334078
29.01.2023	78836.81924849839
30.01.2023	83219.9006834984
31.01.2023	83131.60533296104
01.02.2023	83126.29822600922
02.02.2023	86408.00168043691
03.02.2023	87932.70170533967
04.02.2023	83089.17090553381
05.02.2023	82753.1276862964
06.02.2023	86323.37868006139
07.02.2023	86058.47649692222
08.02.2023	87422.62501750946
09.02.2023	91911.2484628284
10.02.2023	90175.98563058036
11.02.2023	80696.04819782062
12.02.2023	81777.48072087175
13.02.2023	90683.3708618522
14.02.2023	88094.38164521544
15.02.2023	93853.31804837131
16.02.2023	95360.43461860855
17.02.2023	96205.59687191772
18.02.2023	94855.1763961176
19.02.2023	100424.48686244203
20.02.2023	109068.16201430776
21.02.2023	106062.980604357
22.02.2023	106556.31482525366
23.02.2023	103332.8994099466
24.02.2023	103976.75370501059
25.02.2023	91693.22862767155
26.02.2023	89707.14369995786
27.02.2023	97088.76938174681
28.02.2023	94595.37642425095
01.03.2023	96257.6631076145
02.03.2023	94460.35681081843
03.03.2023	95722.0294407663
04.03.2023	101033.76941474395
05.03.2023	99575.00941011235
06.03.2023	101210.97609673791
07.03.2023	97429.38195615515
08.03.2023	99756.54792399719
09.03.2023	100964.70279769436
10.03.2023	100341.81248234962
11.03.2023	90389.72041045825
12.03.2023	90323.34838255978
13.03.2023	91746.88140350877
14.03.2023	96852.62615903343
15.03.2023	98560.91213742607
16.03.2023	100522.83274820952
17.03.2023	101003.66666666667
18.03.2023	99611.4896096602
19.03.2023	103914.3446724768
20.03.2023	103528.67428491307
21.03.2023	108252.01208713984
22.03.2023	105783.37038596491
23.03.2023	130029.76442443006
24.03.2023	120807.86943703495
25.03.2023	112673.19654639899
26.03.2023	113062.55616399887
27.03.2023	118144.42037947997
28.03.2023	115640.44199128111
29.03.2023	113731.20061858569
30.03.2023	120828.93397021636
31.03.2023	111629.48070175438
01.04.2023	110065.30559460219
02.04.2023	109046.87970136639
03.04.2023	117278.20429499859
04.04.2023	125590.15866685657
05.04.2023	129990.72275822928
06.04.2023	121377.23302358828
07.04.2023	118264.98200623406
08.04.2023	117079.26352308127
09.04.2023	122357.1444791371
10.04.2023	121645.3970838052
11.04.2023	121619.97266676108
12.04.2023	122134.40621436716
13.04.2023	122093.05132145052
14.04.2023	121774.58621181845
15.04.2023	112377.79814814815
16.04.2023	102819.72479409259
17.04.2023	125862.48874734607
18.04.2023	112551.17996604415
19.04.2023	117204.59912454108
20.04.2023	114694.6453678668
21.04.2023	103950.9997182305
22.04.2023	102312.4842370744
23.04.2023	103583.59318468659
24.04.2023	105847.00953582948
25.04.2023	105061.10838130002
26.04.2023	107157.93222003929
27.04.2023	107188.45492898326
28.04.2023	101326.94917871684
29.04.2023	93070.75910049192
30.04.2023	105854.72651972483
01.05.2023	102486.8282458855
02.05.2023	99673.64154127408
03.05.2023	105097.56056338028
04.05.2023	100291.21027512633
05.05.2023	97044.23352033661
06.05.2023	99898.69427647306
07.05.2023	93956.19527625474
08.05.2023	99069.0756148981
09.05.2023	104693.88596737907
10.05.2023	110704.5520877267
11.05.2023	108630.87037299674
12.05.2023	111659.57871909787
